location,placeSep,lng,lat,fixedP
Guanahani,Guanahani$ Buenos Aires$ Argentina,-58.3802182,-34.6348804,They brought some women and boys with them$ and the fleet must now have had a large number of these willing or unwilling captives. This was the first organised transaction of slavery on the part of Columbus$ whose design was to send slaves regularly back to Spain in exchange for the cattle and supplies necessary for the colonies. There was not very much said now about religious conversion$ but only about exchanging the natives for cattle. The fine point of Christophers philosophy on this subject had been rubbed off; he had taken the first step a year ago on the beach at Guanahani$ and after that the road opened out broad before him. Slaves for cattle$ and cattle for the islands; and wealth from cattle and islands for Spain$ and payment from Spain for Columbus$ and money from Columbus for the redemption of the Holy Sepulchrethese were the links in the chain of hope that bound him to his pious idea. He had seen the same thing done by the Portuguese on the Guinea coast$ and it never occurred to him that there was anything the matter with it. On the contrary$ at this time his idea was only to take slaves from among the Caribs and man-eating islanders as a punishment for their misdeeds; but this$ like his other fine ideas$ soon had to give way before the tide of greed and conquest.
Ethiopia,Ethiopia,40.489673,9.145000000000001,There was a state reception$ with Admiral Azumbaga walking in front in scarlet and brocade$ followed by his captains$ Columbus among them$ dressed in gorgeous tunics and cloaks with golden collars and$ well hidden beneath their finery$ good serviceable cuirasses. The banner of Portugal was ceremoniously unfurled and dis played from the top of a tall tree. An altar was erected and consecrated by the chaplain to the expedition$ and a mass was sung for the repose of the soul of Prince Henry. The Portugal contingent were then met by Caramansa$ the king of the country$ who came$ surrounded by a great guard of blacks armed with assegais$ their bodies scantily decorated with monkey fur and palm leaves. The black monarch must have presented a handsome appearance$ for his arms and legs were decked with gold bracelets and rings$ he had a kind of dog-collar fitted with bells round his neck$ and some pieces of gold were daintily twisted into his beard. With these aids to diplomacy$ and doubtless also with the help of a dram or two of spirits or of the wine of Oporto$ the treaty was soon concluded$ and a very shrewd stroke of business accomplished for the King of Portugal; for it gave him the sole right of exchanging gaudy rubbish from Portugal for the precious gold of Ethiopia. When the contents of the two freight-ships had been unloaded they were beached and broken up by the orders of King John$ who wished it to be thought that they had been destroyed in the whirlpools of that dangerous sea$ and that the navigation of those rough waters was only safe for the caravels of the Navy. The fort was built in twenty days$ and the expedition returned$ laden with gold and ivory; Admiral Azumbaga remained behind in command of the garrison.
Ancona,Ancona $ Italy,13.518915,43.6158299,A great quantity of birds that began to fly about the ship made him think that they were near land$ but they turned out to be the harbingers of a storm. On Tuesday$ February 12th$ the sea and wind began to rise$ and it continued to blow harder throughout that night and the next day. The wind being aft he went under bare poles most of the night$ and when day came hoisted a little sail; but the sea was terrible$ and if he had not been so sure of the staunch little Nina he would have felt himself in danger of being lost. The next day the sea$ instead of going down$ increased in roughness; there was a heavy cross sea which kept breaking right over the ship$ and it became necessary to make a little sail in order to run before the wind$ and to prevent the vessel falling back into the trough of the seas. All through Thursday he ran thus under the half hoisted staysail$ and he could see the Pinta running also before the wind$ although since she presented more surface$ and was able to carry a little more sail than the Nina$ she was soon lost to sight. The Admiral showed lights through the night$ and this time there was no lack of response from Martin Alonso; and for some part of that dark and stormy night these two humanly freighted scraps of wood and cordage staggered through the gale showing lights to each other; until at last the light from the Pinta disappeared. When morning came she was no longer to be seen; and the wind and the sea had if anything increased. The Nina was now in the greatest danger. Any one wave of the heavy cross sea$ if it had broken fairly across her$ would have sunk her; and she went swinging and staggering down into the great valleys and up into the hills$ the steersmans heart in his mouth$ and the whole crew in an extremity of fear. Columbus$ who generally relied upon his seamanship$ here invoked external aid$ and began to offer bargains to the Almighty. He ordered that lots should be cast$ and that he upon whom the lot fell should make a vow to go on pilgrimage to Santa Maria de Guadaloupe carrying a white candle of five pounds weight. Same dried peas were brought$ one for every member of the crew$ and on one of them a cross was marked with a knife; the peas were well shaken and were put into a cap. The first to draw was the Admiral; he drew the marked pea$ and he made the vow. Lots were again drawn$ this time for a greater pilgrimage to Santa Maria de Loretto in Ancona; and the lot fell on a seaman named Pedro de Villa$the expenses of whose pilgrimage Columbus promised to pay. Again lots were drawn for a pilgrimage to the shrine of Santa Clara of Moguer$ the pilgrim to watch and pray for one night there; and again the lot fell on Columbus. In addition to these$ every one$ since they took themselves for lost$ made some special and private vow or bargain with God; and finally they all made a vow together that at the first land they reached they would go in procession in their shirts to pray at an altar of Our Lady.
Republic,Oklahoma City $ United States,-97.5341023,35.5324359, By far the most important element in the navigation of Columbus$ in so far as estimating his position was concerned$ was what is known as dead-reckoning that is to say$ the computation of the distance travelled by the ship through the water. At present this distance is measured by a patent log$ which in its commonest form is a propeller-shaped instrument trailed through the water at the end of a long wire or cord the inboard end of which is attached to a registering clock. On being dragged through the water the propeller spins round and the twisting action is communicated by the cord to the clock-work machinery which counts the miles. In the case of powerful steamers and in ordinary weather dead-reckoning is very accurately calculated by the number of revolutions of the propellers recorded in the engine-room; and a device not unlike this was known to the Romans in the time of the Republic. They attached small wheels about four feet in diameter to the sides of their ships; the passage of the water turned the wheels$ and a very simple gearing was arranged which threw a pebble into a tallypot at each revolution. This device$ however$ seems to have been abandoned or forgotten in Columbuss day$ when there was no more exact method of estimating dead-reckoning than the primitive one of spitting over the side in calm weather$ or at other times throwing some object into the water and estimating the rate of progress by its speed in passing the ships side. The hour-glass$ which was used to get the multiple for long distances$ was of course the only portable time measurer available for Columbus. These$ with a rough knowledge of astronomy$ and the taking of the altitude of the polar star$ were the only known means for ascertaining the position of his ship at sea.
Hill,Hill County$ TX$ USA,-97.179026,32.0621768,There are no paths or footprints left in the sea$ and the water furrowed on that morning more than four hundred years ago by the keels of Columbuss little fleet is as smooth and trackless as it was before they clove it. Yet if you approach Guanahani from the east during the hours of darkness you also will see a light that waxes and wanes on the horizon. What the light was that Columbus saw is not certain; it was probably the light from a torch held by some native woman from the door of her hut; but the light that you will see is from the lighthouse on Dixon Hill$ where a tower of coral holds a lamp one hundred and sixty feet above the sea at the north-east point of the island. It was erected in no sentimental spirit$ but for very practical purposes$ and at a date when Watlings Island had not been identified with the Guanahani of Columbuss landfall; and yet of all the monuments that have been raised to him I can think of nothing more appropriate than this lonely tower that stands by day amid the bright sunshine in the track of the trade wind$ and by night throws its powerful double flash every half-minute across the dark lonely sea. For it was by a light$ although not of mans kindling$ that Columbus was guided upon his lonely voyage and through his many difficulties; amid all his trials and disappointments$ dimly as it must have burned sometimes$ it never quite went out. Darkness was the name of the sea across which he took his way; darkness$ from his religious point of view$ was the state of the lands to which he journeyed; and$ whatever its subsequent worth may have been$ it was a burning fragment from the living torch of the Christian religion that he carried across the world with him$ and by which he sought to kindle the fire of faith in the lands of his discovery. So that there is a profound symbolism in those raying beams that now$ night after night$ month by month$ and year after year$ shine out across the sea from Watlings Island in the direction of the Old World.
Saint,Saint Louis $ United States,-90.23382319999999,38.6354598,Once more he exhibited his easy mastery of the art of navigation and his extraordinary gift for estimating dead-reckoning. After having been out of sight of land for eight weeks$ and while some of the sailors thought they might be in the Bay of Biscay$ and others that they were in the English Channel$ the Admiral suddenly announced that they were close to Cape Saint Vincent.
Ganges,Ganges,83.0319706,27.4036401,Still Columbus went on in pursuit of his geographical chimera; even gold had no power to detain him from the earnest search for this imaginary strait. Here and there along the coast he saw increasing signs of civilisationonce a wall built of mud and stone$ which made him think of Cathay again. He now got it into his head that the region he was in was ten days journey from the Ganges$ and that it was surrounded by water; which if it means anything means that he thought he was on a large island ten days sail to the eastward of the coast of India. Altogether at sea as to the facts$ poor Admiral$ but with heart and purpose steadfast and right enough.
Gate,Mohenjo-daro $ Pakistan,68.131907,27.3294326,Owing$ no doubt$ to the difficulties that this un fortunate purchase plunged him into$ Domenico was obliged to mortgage his house at St. Andrews Gate in the year 1477; and in 1489 he finally gave it up to Jacob Baverelus$ the cheese-monger$ his son-in-law. Susanna$ who had been the witness of his melancholy transactions for so many years$ and possibly the mainstay of that declining household$ died in 1494; but not$ we may hope$ before she had heard of the fame of her son Christopher. Domenico$ in receipt of a pension from the famous Admiral of the Ocean$ and no doubt talking with a deal of pride and inaccuracy about the discovery of the New World$ lived on until 1498; when he died also$ and vanished out of this world. He had fulfilled a noble destiny in being the father of Christopher Columbus.
Anne,Spruce $ United States,-83.55847949999999,44.7563515,The low coast of Jamaica$ hazy and blue at first$ but afterwards warming into a golden belt crowned by the paler and deeper greens of the foliage$ was sighted first by Columbus on Sunday$ May 4th; and he anchored the next day in the beautiful harbour of Saint Anne$ to which he gave the name of Santa Gloria. To the island itself he gave the name of Santiago$ which however has never displaced its native name of Jamaica. The dim blue mountains and clumps of lofty trees about the bay were wonderful even to Columbus$ whose eyes must by this time have been growing accustomed to the beauty of the West Indies$ and he lost his heart to Jamaica from the first moment that his eyes rested on its green and golden shores. Perhaps he was by this time a little out of conceit with Hayti; but be that as it may he retracted all the superlatives he had ever used for the other lands of his discovery$ and bestowed them in his heart upon Jamaica.
Isle,Isle $ United States,-93.4707923,46.138011,After sailing west two thousand leagues Cabot found land in the neighbourhood of Cape Breton$ and was thus in all probability the first discoverer$ since the Icelanders$ of the mainland of the New World. He turned northward$ sailed through the strait of Belle Isle$ and came home again$ having accomplished his task in three months. Cabot$ like Columbus$ believed he had seen the territory of the Great Khan$ of whom he told the interested population of Bristol some strange things. He further told them of the probable riches of this new land if it were followed in a southerly direction; told them some lies also$ it appears$ since he said that the waters there were so dense with fish that his vessels could hardly move in them. He received a gratuity of L10 and a pension$ and made a great sensation in Bristol by walking about the city dressed in fine silk garments. He took other voyages also with his son Sebastian$ who followed with him the rapid widening stream of discovery and became Pilot Major of Spain$ and President of the Congress appointed in 1524 to settle the conflicting pretensions of various discoverers; but so far as our narrative is concerned$ having sailed across from Bristol and discovered the mainland of the New World some years before Columbus discovered it$ John Cabot sails into oblivion.
Santiago,Santiago $ Chile,-70.6692655,-33.4488897,The four ships that made up the Admirals fleet on his fourth and last voyage were all small caravels$ the largest only of seventy tons and the smallest only of fifty. Columbus chose for his flagship the Capitana$ seventy tons$ appointing Diego Tristan to be his captain. The next best ship was the Santiago de Palos under the command of Francisco Porras; Porras and his brother Diego having been more or less foisted on to Columbus by Morales$ the Royal Treasurer$ who wished to find berths for these two brothers-in-law of his. We shall hear more of the Porras brothers. The third ship was the Gallega$ sixty tons$ a very bad sailer indeed$ and on that account entrusted to Bartholomew Columbus$ whose skill in navigation$ it was hoped$ might make up for her bad sailing qualities. Bartholomew had$ to tell the truth$ had quite enough of the New World$ but he was too loyal to Christopher to let him go alone$ knowing as he did his precarious state of health and his tendency to despondency. The captain of the Gallega was Pedro de Terreros$ who had sailed with the Admiral as steward on all his other voyages and was now promoted to a command. The fourth ship was called the Vizcaina$ fifty tons$ and was commanded by Bartolome Fieschi$ a friend of Columbuss from Genoa$ and a very sound$ honourable man. There were altogether 143 souls on board the four caravels.
